rating,review_text,review_date,product_name,skin_type
3,처음 사용했을 때는 특별한 변화 없이 평범했어요. 건성,2025-12-12,데일리 선크림,지성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요. 건성이라 여러 번 덧발라도 부담이 크지 않았어요.,2025-09-28,수분 장벽 크림,건성
4,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요.,2025-10-09,저자극 진정 토너,복합성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요. 지성,2025-02-25,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요. 복합성 피부인데 볼은 촉촉하고 T존은 크게 번들거리지 않았어요. 건성,2025-09-17,저자극 진정 토너,복합성
2,몇 번 사용하니 코 주변에 좁쌀처럼 올라오는 느낌이 있었어요. 지성인데 오후에 T존 유분이 조금 늘어서 양을 적게 쓰는 게 좋겠어요.,2025-01-30,데일리 선크림,지성
4,발림성이 부드럽고 흡수가 빨라서 아침에 사용하기 좋았어요.,2025-04-28,수분 장벽 크림,건성
5,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-05-16,수분 장벽 크림,건성
4,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-12-16,수분 장벽 크림,건성
4,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요. 복합성이라 코 주변은 유분이 올라왔지만 볼은 편안했어요.,2025-01-04,저자극 진정 토너,복합성
1,처음 바를 때는 괜찮았지만 다음 날 피부에 붉은기가 생겼어요. 건성인데 볼 쪽 당김이 덜해서 만족했어요.,2025-05-16,수분 장벽 크림,건성
3,사용감은 무난하지만 특별한 장점이 크게 느껴지지는 않았어요.,2025-03-20,수분 장벽 크림,건성
4,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요. 건성 피부에는 잘 맞을 것 같지만 여름에는 조금 무거울 수도 있겠어요.,2025-04-22,수분 장벽 크림,건성
5,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요. 건성,2025-07-17,데일리 선크림,지성
3,제형은 적당했고 며칠 더 사용해 봐야 효과를 알 것 같아요.,2025-10-20,데일리 선크림,지성
5,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-08-23,저자극 진정 토너,복합성
2,처음 바를 때는 괜찮았지만 다음 날 피부에 붉은기가 생겼어요. 복합성 피부인데 볼은 촉촉하고 T존은 크게 번들거리지 않았어요.,2025-09-06,저자극 진정 토너,복합성
5,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-11-10,수분 장벽 크림,건성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-10-26,데일리 선크림,지성
3,가격을 생각하면 무난한 제품이라고 생각해요. 지성,2025-04-20,수분 장벽 크림,건성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요.,2025-07-28,데일리 선크림,지성
4,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요.,2025-06-09,데일리 선크림,지성
4,메이크업 전에 사용해도 밀림이 적어서 좋았어요. 복합성 피부에는 양을 조절해서 사용하면 괜찮을 것 같아요.,2025-02-27,저자극 진정 토너,복합성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-04-08,저자극 진정 토너,복합성
3,처음 사용했을 때는 특별한 변화 없이 평범했어요.,2025-12-20,저자극 진정 토너,복합성
3,제형은 적당했고 며칠 더 사용해 봐야 효과를 알 것 같아요.,2025-03-12,저자극 진정 토너,복합성
4,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-12-06,데일리 선크림,지성
5,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요.,2025-10-18,수분 장벽 크림,건성
4,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-09-14,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-08-03,수분 장벽 크림,건성
4,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-07-05,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-01-26,데일리 선크림,지성
4,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-10-11,저자극 진정 토너,복합성
2,향이 제 취향과 맞지 않고 사용 후 약간 답답한 느낌이 들었어요. 건성이라 여러 번 덧발라도 부담이 크지 않았어요.,2025-01-10,수분 장벽 크림,건성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요.,2025-05-07,수분 장벽 크림,건성
1,몇 번 사용하니 코 주변에 좁쌀처럼 올라오는 느낌이 있었어요. 지성이라 걱정했는데 얇게 바르니 끈적임이 크게 느껴지지 않았어요.,2025-03-22,데일리 선크림,지성
2,보습력은 있지만 제 피부에는 조금 무겁게 느껴졌어요. 지성인데 오후에 T존 유분이 조금 늘어서 양을 적게 쓰는 게 좋겠어요.,2025-02-02,데일리 선크림,지성
5,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요.,2025-01-25,데일리 선크림,지성
2,보습력은 있지만 제 피부에는 조금 무겁게 느껴졌어요. 건성이라 여러 번 덧발라도 부담이 크지 않았어요.,2025-03-03,수분 장벽 크림,건성
5,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-07-05,수분 장벽 크림,건성
2,사용 후 얼굴에 작은 뾰루지가 몇 개 올라와서 사용을 중단했어요. 복합성 피부인데 볼은 촉촉하고 T존은 크게 번들거리지 않았어요.,2025-05-02,저자극 진정 토너,복합성
1,흡수가 느려서 바쁜 아침에는 사용하기 불편했어요. 건성 피부에는 잘 맞을 것 같지만 여름에는 조금 무거울 수도 있겠어요.,2025-08-13,수분 장벽 크림,건성
3,촉촉하기는 한데 계절에 따라 사용감이 달라질 것 같아요.,2025-03-09,데일리 선크림,지성
4,향이 은은하고 자극적인 느낌이 없어 만족스러웠어요. 지성인데 오후에 T존 유분이 조금 늘어서 양을 적게 쓰는 게 좋겠어요.,2025-04-08,데일리 선크림,지성
2,몇 번 사용하니 코 주변에 좁쌀처럼 올라오는 느낌이 있었어요. 건성인데 볼 쪽 당김이 덜해서 만족했어요. 지성,2025-04-15,수분 장벽 크림,건성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-02-01,수분 장벽 크림,건성
4,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-01-17,저자극 진정 토너,복합성
1,처음 바를 때는 괜찮았지만 다음 날 피부에 붉은기가 생겼어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요.,2025-12-04,데일리 선크림,지성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-01-31,저자극 진정 토너,복합성
3,제형은 적당했고 며칠 더 사용해 봐야 효과를 알 것 같아요.,2025-10-04,저자극 진정 토너,복합성
2,생각보다 유분감이 많아서 오후에는 얼굴이 번들거렸어요. 지성이라 걱정했는데 얇게 바르니 끈적임이 크게 느껴지지 않았어요.,2025-01-02,데일리 선크림,지성
5,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요.,2025-10-09,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-02-24,저자극 진정 토너,복합성
3,처음 사용했을 때는 특별한 변화 없이 평범했어요.,2025-05-07,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-12-29,데일리 선크림,지성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요.,2025-08-05,저자극 진정 토너,복합성
5,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요. 건성인데 볼 쪽 당김이 덜해서 만족했어요.,2025-08-31,수분 장벽 크림,건성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요.,2025-05-20,데일리 선크림,지성
3,처음 사용했을 때는 특별한 변화 없이 평범했어요.,2025-08-18,수분 장벽 크림,건성
2,기대했던 것보다 보습 지속력이 짧아서 아쉬웠어요. 건성인데 볼 쪽 당김이 덜해서 만족했어요.,2025-01-30,수분 장벽 크림,건성
4,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요. 지성 피부에는 겨울이나 건조한 날 사용하면 더 잘 맞을 것 같아요.,2025-09-28,데일리 선크림,지성
5,발림성이 부드럽고 흡수가 빨라서 아침에 사용하기 좋았어요.,2025-12-08,저자극 진정 토너,복합성
3,제형은 적당했고 며칠 더 사용해 봐야 효과를 알 것 같아요.,2025-05-23,데일리 선크림,지성
3,가볍지도 무겁지도 않은 중간 정도의 사용감이었어요.,2025-10-04,수분 장벽 크림,건성
1,몇 번 사용하니 코 주변에 좁쌀처럼 올라오는 느낌이 있었어요. 건성이라 여러 번 덧발라도 부담이 크지 않았어요.,2025-03-09,수분 장벽 크림,건성
4,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요.,2025-03-03,저자극 진정 토너,복합성
5,며칠 사용해 보니 피부가 편안하고 촉촉한 느낌이 오래갔어요.,2025-09-30,데일리 선크림,지성
4,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요.,2025-07-22,저자극 진정 토너,복합성
5,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요. 복합성인데 전체적으로 무난했지만 T존에는 조금 무거웠어요.,2025-08-28,저자극 진정 토너,복합성
5,메이크업 전에 사용해도 밀림이 적어서 좋았어요.,2025-11-24,수분 장벽 크림,건성
2,기대했던 것보다 보습 지속력이 짧아서 아쉬웠어요. 지성인데 오후에 T존 유분이 조금 늘어서 양을 적게 쓰는 게 좋겠어요.,2025-05-16,데일리 선크림,지성
1,생각보다 유분감이 많아서 오후에는 얼굴이 번들거렸어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요.,2025-11-03,데일리 선크림,지성
3,사용감은 무난하지만 특별한 장점이 크게 느껴지지는 않았어요.,2025-08-23,수분 장벽 크림,건성
5,세안 후 건조함이 덜하고 피부가 당기는 느낌이 줄었어요.,2025-05-26,저자극 진정 토너,복합성
4,발림성이 부드럽고 흡수가 빨라서 아침에 사용하기 좋았어요.,2025-01-26,데일리 선크림,지성
4,세안 후 건조함이 덜하고 피부가 당기는 느낌이 줄었어요.,2025-02-07,데일리 선크림,지성
5,세안 후 건조함이 덜하고 피부가 당기는 느낌이 줄었어요.,2025-05-14,저자극 진정 토너,복합성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요. 지성 피부라 가벼운 사용감을 선호하는데 생각보다 괜찮았어요.,2025-11-17,데일리 선크림,지성
5,피부가 매끈해 보이고 사용감이 산뜻해서 재사용하고 싶어요. 건성인데 볼 쪽 당김이 덜해서 만족했어요.,2025-02-08,수분 장벽 크림,건성
1,흡수가 느려서 바쁜 아침에는 사용하기 불편했어요. 지성이라 걱정했는데 얇게 바르니 끈적임이 크게 느껴지지 않았어요.,2025-03-21,데일리 선크림,지성
3,사용감은 무난하지만 특별한 장점이 크게 느껴지지는 않았어요.,2025-12-15,데일리 선크림,지성
5,끈적임이 심하지 않아 부담 없이 매일 사용할 수 있었어요. 지성이라 걱정했는데 얇게 바르니 끈적임이 크게 느껴지지 않았어요.,2025-10-06,데일리 선크림,지성
4,처음에는 가벼운 제품인 줄 알았는데 보습력이 생각보다 괜찮았어요.,2025-07-01,수분 장벽 크림,건성
